1886-01-01,30
1887-01-01,11
1888-01-01,0
1889-01-01,16
1890-01-01,45
1891-01-01,27
1892-01-01,-141
1893-01-01,46
1894-01-01,-30
1895-01-01,60
1896-01-01,15
1897-01-01,4
1898-01-01,15
1899-01-01,8
1900-01-01,-8
1901-01-01,15
1902-01-01,31
1903-01-01,-8
1904-01-01,-19
1905-01-01,-15
1906-01-01,11
1907-01-01,12
1908-01-01,7
1909-01-01,-22
1910-01-01,-4
1911-01-01,11
1912-01-01,57
1913-01-01,132
1914-01-01,-11
1915-01-01,-64
1916-01-01,-72
1917-01-01,11
1918-01-01,-23
1919-01-01,0
1920-01-01,0
1921-01-01,12
1922-01-01,7
1923-01-01,-30
1924-01-01,11
1925-01-01,0
1926-01-01,-53
1927-01-01,-18
1928-01-01,0
1929-01-01,26
1930-01-01,4
1931-01-01,41
1932-01-01,-15
1933-01-01,-22
1934-01-01,26
1935-01-01,11
1936-01-01,12
1937-01-01,-15
1938-01-01,22
1939-01-01,53
1940-01-01,8
1941-01-01,4
1942-01-01,41
1943-01-01,12
1944-01-01,-31
1945-01-01,-3
1946-01-01,26
1947-01-01,-15
1948-01-01,-4
1949-01-01,-15
1950-01-01,-23
1951-01-01,-11
1952-01-01,-15
1953-01-01,-11
